37958 0 12 0 0 1 0 0 0 0 0 0 12 0 3 0 0 0 0 0 2 0 0 0 
38238 0 12 0 0 0 0 0 1 0 2 0 10 0 6 0 0 0 0 1 4 0 0 0 
38253 0 34 2 0 0 2 0 0 0 0 0 28 0 10 1 0 0 0 0 13 0 0 0 
38254 0 34 2 0 0 2 0 0 0 0 0 28 0 10 1 0 0 0 0 13 0 0 0 
38336 0 8 1 0 0 0 0 0 0 0 1 13 0 2 0 0 0 0 0 4 0 0 0 
53115 0 14 0 0 0 0 0 0 1 0 0 19 0 3 0 0 0 0 3 4 0 0 1 
53202 0 25 0 0 0 0 0 0 1 0 0 32 1 5 0 0 0 0 4 4 0 0 1 
53308 0 31 0 0 0 0 0 0 0 0 0 33 1 6 0 0 0 0 1 5 0 0 0 
53347 0 29 0 0 0 0 0 1 0 0 0 25 0 4 1 1 0 0 0 3 0 0 0 
53624 0 33 0 2 0 0 0 0 0 0 1 48 0 10 0 3 0 0 0 10 0 0 0 
58077 0 29 0 0 3 0 0 0 0 0 0 32 0 5 0 1 0 0 0 7 0 0 0 
58079 0 35 0 0 0 0 0 0 0 0 0 32 0 2 0 0 0 0 0 4 0 0 0 
58080 0 12 0 0 0 0 0 0 0 0 1 14 0 3 0 0 1 1 0 5 0 1 0 
58081 0 50 2 2 0 0 1 0 0 0 1 53 0 16 0 0 0 0 0 9 0 0 3 
58130 2 30 0 0 0 1 0 1 0 1 0 28 2 2 0 0 0 0 0 6 1 0 0 
60236 0 26 1 0 0 0 0 0 1 0 2 24 3 8 0 0 0 0 3 8 1 1 0 
60828 0 17 0 0 0 0 0 0 0 1 1 9 0 3 0 0 0 0 0 3 0 0 0 
60896 0 27 0 0 0 2 0 0 0 0 0 23 0 8 0 0 0 0 0 11 0 0 0 
60907 0 32 0 0 0 0 0 0 0 0 0 29 0 5 0 0 0 1 0 5 0 3 0 
61457 0 39 0 0 0 0 2 0 0 0 0 40 0 6 1 0 0 3 0 10 0 0 0 
74781 1 12 1 0 0 0 1 0 0 1 0 16 0 3 0 0 0 0 0 2 0 0 0 
74817 1 26 1 0 0 0 0 0 0 0 0 17 0 1 0 0 1 0 3 2 2 0 0 
76025 1 9 0 0 0 0 0 0 0 0 0 18 0 2 1 0 0 0 1 2 0 0 0 
76033 0 21 0 0 0 0 0 0 1 1 0 26 0 9 2 0 1 0 1 10 0 1 0 
76110 0 13 0 0 0 0 0 0 0 0 1 15 0 1 0 0 0 0 0 2 0 0 0 
